sor_id;orszag;tipus;ok
2;Australia;AH-64E Apache;orszag: 1 (pontos), tipus: 0 (nincs)
3;Australia;C-130J-30 Hercules;orszag: 1 (pontos), tipus: 0 (nincs)
4;Australia;F-35A Lightning II;orszag: 1 (pontos), tipus: 0 (nincs)
5;Azerbaijan;JF-17C Thunder;orszag: 1 (pontos), tipus: 0 (nincs)
6;Belgium;F-35A Lightning II;orszag: 1 (pontos), tipus: 0 (nincs)
7;Brazil;Gripen E/F;orszag: 1 (pontos), tipus: 0 (nincs)
8;Bulgaria;F-16C/D Block 70;orszag: 1 (pontos), tipus: 0 (nincs)
9;Canada;CC-330 Husky / A330 MRTT;orszag: 1 (pontos), tipus: 0 (nincs)
10;Croatia;UH-60M Black Hawk;orszag: 1 (pontos), tipus: 0 (nincs)
11;Denmark;F-35A Lightning II;orszag: 1 (pontos), tipus: 0 (nincs)
14;France;Rafale B/C/M;orszag: 1 (pontos), tipus: 0 (nincs)
15;Germany;H145M / H145 katonai család;orszag: 1 (pontos), tipus: 0 (nincs)
18;Hungary;JAS 39 Gripen C/D;orszag: 1 (pontos), tipus: 0 (nincs)
19;India;Rafale / Rafale Marine;orszag: 1 (pontos), tipus: 0 (nincs)
20;India;Tejas Mk1 / Mk1A;orszag: 1 (pontos), tipus: 0 (nincs)
21;Israel;F-15 változatok;orszag: 1 (pontos), tipus: 0 (nincs)
22;Israel;F-35I Adir;orszag: 1 (pontos), tipus: 0 (nincs)
24;Italy;F-35A/B Lightning II;orszag: 1 (pontos), tipus: 0 (nincs)
25;Japan;KC-46A Pegasus;orszag: 1 (pontos), tipus: 0 (nincs)
27;Japan;F-35A/B Lightning II;orszag: 1 (pontos), tipus: 0 (nincs)
28;Jordan;F-16;orszag: 1 (pontos), tipus: 0 (tobbertelmu)
29;Morocco;AH-64E Apache;orszag: 1 (pontos), tipus: 0 (nincs)
30;Morocco;F-16;orszag: 1 (pontos), tipus: 0 (tobbertelmu)
31;Netherlands;F-35A Lightning II;orszag: 1 (pontos), tipus: 0 (nincs)
32;Philippines;FA-50PH;orszag: 1 (pontos), tipus: 0 (nincs)
33;Poland;F-35A Lightning II;orszag: 1 (pontos), tipus: 0 (nincs)
34;Poland;FA-50GF / FA-50PL;orszag: 1 (pontos), tipus: 0 (nincs)
36;Portugal;KC-390 / C-390 Millennium;orszag: 1 (pontos), tipus: 0 (nincs)
38;Singapore;F-35A/B Lightning II;orszag: 1 (pontos), tipus: 0 (nincs)
39;South Korea;AH-64E Apache;orszag: 1 (pontos), tipus: 0 (nincs)
40;South Korea;E-7 Peace Eye;orszag: 1 (pontos), tipus: 0 (nincs)
41;South Korea;F-35A Lightning II;orszag: 1 (pontos), tipus: 0 (nincs)
44;Sweden;JAS 39 Gripen C/D/E;orszag: 1 (pontos), tipus: 0 (nincs)
45;Sweden;UH-60M Black Hawk;orszag: 1 (pontos), tipus: 0 (nincs)
46;Taiwan;F-16A/BV és F-16C/D Block 70;orszag: 1 (pontos), tipus: 0 (nincs)
47;Thailand;JAS 39 Gripen C/D és E/F;orszag: 1 (pontos), tipus: 0 (nincs)
48;Turkey;F-16;orszag: 1 (pontos), tipus: 0 (tobbertelmu)
50;United Kingdom;F-35B / F-35A Lightning II;orszag: 1 (pontos), tipus: 0 (nincs)
51;United Kingdom;MQ-9 Reaper / Protector RG Mk1;orszag: 1 (pontos), tipus: 0 (nincs)
52;United States;KC-46A Pegasus;orszag: 1 (pontos), tipus: 0 (nincs)
