sor_id;orszag;tipus;eredeti_active;eredeti_on_order;eredeti_osszesen;itelet;ellenorzott_active;firm_on_order;tervezett_vagy_engedelyezett_nem_firm;programkeret_vagy_korrigalt_osszes;ervenyes_datum;megbizhatosag;valtozat_es_statusz_megjegyzes;forras_1;forras_url_1;forras_2;forras_url_2;reszletes_megjegyzes
1;Argentina;F-16 Fighting Falcon;6;18;24;MEGERŐSÍTVE;6;18;0;24;2025-12-18;magas;"Használt dán F-16AM/BM; az első átadási ütem.";Dán védelmi közlés alapján: az első 6 a 24-ből átadva, a további 18 ütemezve 2028-ig;https://nordicdefencesector.com/en/article/denmark-has-delivered-the-first-f-16-aircraft-to-argentina;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"Az eredeti felosztás helyes. Az „active” itt átadott és szolgálatba állítható tulajdonosi állományt jelent; a tényleges harckészültség külön kérdés."
2;Australia;AH-64E Apache;29;0;29;HELYESBÍTVE;6;23;0;29;2026-05-20;magas;"AH-64E; a 29 gépes program leszállítás alatt.";Australian Department of Defence: Apache fleet reaches six;https://www.defence.gov.au/news-events/news/2026-05-20/apache-fleet-reaches-six;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"A 29 a teljes beszerzési program, nem a már aktív állomány. Hat gép volt leszállítva; 23 további gép maradt hátra. Teljes átadás 2029-ig várható."
3;Australia;C-130J-30 Hercules;12;20;32;MEGERŐSÍTVE;12;20;0;32;2026-08-01;magas;"12 meglévő C-130J-30 és 20 új C-130J-30; az új rendelés nem azonos a meglévő flotta pótlás nélküli bővítésével.";Australian Defence / US FMS: 20 új C-130J-30 beszerzése;;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"A 12/20 felosztás nyílt forrásokkal összhangban van. A 32-es összeg csak programnézetben használható; egy adott időpont aktív flottájaként nem."
4;Australia;F-35A Lightning II;63;9;72;HELYESBÍTVE;72;0;0;72;2024-12-19;magas;"F-35A; a teljes 72 gépes flotta leszállítva.";Australian Department of Defence: Final F-35A aircraft delivered;https://www.defence.gov.au/news-events/releases/2024-12-19/final-f-35a-aircraft-delivered;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"Az utolsó 9 gép 2024 decemberében megérkezett. A 63/9 felosztás elavult; 72/0 a helyes tulajdonosi/leszállítási állapot."
5;Azerbaijan;JF-17C Thunder;8;8;16;HELYESBÍTVE;legalább 4–5;kb. 35;0;kb. 40;2026-07-06;közepes;JF-17C Block III. A hivatalos szerződés darabszáma nem teljesen átlátható.;"Janes: Azerbaijan confirms JF-17 delivery; legalább négy gép vizuálisan azonosítható";https://www.janes.com/defence-intelligence-insights/defence-news/air/azerbaijan-confirms-jf-17-delivery;"Több szakforrás 5 átadott / 40-es programkeretet közöl; hivatalos mennyiségi megerősítés korlátozott";;"A 8/8 felosztás nem támasztható alá kellő bizonyossággal. Az in-service státusz megerősített, de a pontos darabszám alacsonyabb lehet; a 40-es programkeret több szakforrásból származik, nem teljes körű hivatalos közzétételből."
6;Belgium;F-35A Lightning II;10;24;34;HELYESBÍTVE;11;23;11 szándék/bejelentés;"34 firm; 45 tervezett";2025-10-14;magas;11 átvett gép: 8 az USA-ban kiképzésre, 3 Belgiumban. A további 11 külön bővítési szándék.;Lockheed Martin / Belgian Air Force: Belgium has received 11 of 34 F-35A;https://www.f35.com/f35/news-and-features/Another-16-F35-fighter-jets-to-Denmark/Lockheed_Martin_and_Belgium_Celebrate_Arrival_of_First_Belgian_F-35_Aircraft.html;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 10/24 adat egy géppel elavult. A 34-es eredeti programból 11 átvett és 23 hátralévő. A további 11-et nem szabad a firm rendeléshez adni addig, amíg a szerződés státusza nem egyértelmű.
7;Brazil;Gripen E/F;10;26;36;HELYESBÍTVE;11;25;20 érdeklődés/tárgyalási lehetőség;36 firm;2026-03-25;magas;28 Gripen E + 8 Gripen F az eredeti szerződésben.;Saab: First Gripen E fighter produced in Brazil is unveiled;https://www.saab.com/newsroom/press-releases/2026/first-gripen-e-fighter-produced-in-brazil-is-unveiled;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 36 gépes szerződésből 11-et adtak át, így 25 maradt. A sajtóban szereplő további 20 gép nem kezelhető automatikusan firm megrendelésként.
8;Bulgaria;F-16C/D Block 70;8;8;16;MEGERŐSÍTVE;8;8;0;16;2025-12-18;magas;"Első 8 gép átvéve és szolgálatba fogadva; második 8-as szerződés 2027 végéig.";Bolgár védelmi minisztériumi közlés: az első nyolc F-16 átadása lezárult;https://sofiaglobe.com/2025/12/18/bulgaria-holds-official-ceremony-for-completion-of-delivery-of-first-eight-f-16s/;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"A 8/8 felosztás helyes. Az aktív nem feltétlenül jelenti, hogy mind a nyolc azonnal teljes harckészültségű; a típusbevezetés és kiképzés folytatódik."
9;Canada;CC-330 Husky / A330 MRTT;2;7;9;MEGERŐSÍTVE;2 szolgálatban;7 átalakítás/átadás alatt;0;9;2026-07-01;magas;"Öt használt és négy új A330-200; a már átvett használt gépek közül csak kettő állt hivatalosan szolgálatba a megadott időpontig.";Government of Canada: Strategic Tanker Transport Capability project;https://www.canada.ca/en/department-national-defence/services/procurement/strategic-tanker-transport-capability-project.html;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 2/7 felosztás használható, de a „7 on_order” heterogén: átvett, átalakítás alatt álló használt gépek és új gyártású MRTT-k is lehetnek benne.
10;Croatia;UH-60M Black Hawk;4;8;12;MEGERŐSÍTVE;4;8;0;12;2024-07-12;magas;Négy meglévő és nyolc további UH-60M FMS-beszerzés.;Lockheed Martin: Croatia triples Black Hawk fleet with eight additional helicopters;https://news.lockheedmartin.com/2024-07-12-Croatia-Triples-Black-Hawk-Fleet-with-Purchase-of-Eight-Additional-Helicopters;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A felosztás helyes. A 12-es szám jövőbeli teljes flotta, nem a jelenleg hadrendben lévő mennyiség.
